OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 0001539,11/19/2014,2/12/2015,25,Distributor,USD,NXH382,48,2,8,"6,097.00","3,048.50","48,776.00"
SO - 0001540,11/20/2014,1/16/2015,23,Wholesale,NZD,AXW291,17,3,11,"1,098.80",780.15,"12,086.80"
SO - 0001541,11/20/2014,2/1/2015,50,Distributor,USD,FLR025,63,2,6,"3,966.40","2,697.15","23,798.40"
SO - 0001542,11/20/2014,1/5/2015,30,Distributor,NZD,FLR025,63,5,6,"1,809.00","1,537.65","10,854.00"
SO - 0001543,11/20/2014,12/28/2014,38,Distributor,USD,NXH382,57,5,7,"2,445.50","1,785.22","17,118.50"
SO - 0001544,11/20/2014,2/3/2015,15,Wholesale,USD,FLR025,60,11,5,"6,499.00","4,744.27","32,495.00"
SO - 0001545,11/20/2014,1/31/2015,45,Wholesale,USD,AXW291,13,11,11,"2,010.00",844.20,"22,110.00"
SO - 0001546,11/20/2014,1/27/2015,43,Distributor,AUD,FLR025,62,14,7,"3,946.30","2,012.61","27,624.10"
SO - 0001547,11/20/2014,2/1/2015,17,Export,USD,AXW291,8,7,5,"1,768.80","1,220.47","8,844.00"
SO - 0001548,11/20/2014,12/23/2014,44,Export,NZD,NXH382,53,5,6,"2,257.90","1,128.95","13,547.40"
SO - 0001549,11/21/2014,2/10/2015,26,Distributor,AUD,NXH382,49,9,11,261.30,222.11,"2,874.30"
SO - 0001550,11/21/2014,12/28/2014,11,Wholesale,EUR,FLR025,62,13,10,"3,966.40","2,141.86","39,664.00"
SO - 0001551,11/21/2014,1/4/2015,45,Wholesale,AUD,AXW291,31,7,10,"1,708.50","1,452.23","17,085.00"
SO - 0001552,11/21/2014,1/31/2015,25,Distributor,NZD,FLR025,60,13,12,268.00,195.64,"3,216.00"
SO - 0001553,11/21/2014,1/11/2015,50,Distributor,NZD,AXW291,12,1,12,"5,929.50","2,786.87","71,154.00"
SO - 0001554,11/21/2014,1/2/2015,2,Wholesale,USD,GUT930,33,5,7,"1,125.60",495.26,"7,879.20"
SO - 0001555,11/22/2014,1/10/2015,49,Wholesale,NZD,AXW291,25,1,8,871.00,722.93,"6,968.00"
SO - 0001556,11/22/2014,12/30/2014,43,Distributor,NZD,GUT930,40,1,5,"3,919.50","2,038.14","19,597.50"
SO - 0001557,11/22/2014,1/17/2015,15,Distributor,NZD,AXW291,3,11,8,670.00,475.70,"5,360.00"
SO - 0001558,11/22/2014,1/19/2015,11,Distributor,USD,AXW291,23,13,5,"1,876.00","1,031.80","9,380.00"
SO - 0001559,11/22/2014,1/10/2015,23,Wholesale,NZD,NXH382,49,9,7,"1,989.90",835.76,"13,929.30"
SO - 0001560,11/22/2014,1/2/2015,35,Wholesale,USD,AXW291,6,2,6,"1,809.00","1,266.30","10,854.00"
SO - 0001561,11/22/2014,2/19/2015,15,Export,USD,AXW291,16,1,11,"5,038.40","3,023.04","55,422.40"
SO - 0001562,11/22/2014,1/14/2015,49,Wholesale,USD,AXW291,5,11,11,"2,324.90","1,394.94","25,573.90"
SO - 0001563,11/22/2014,12/23/2014,10,Export,AUD,NXH382,56,7,8,"2,291.40","1,810.21","18,331.20"
SO - 0001564,11/22/2014,12/30/2014,33,Distributor,GBP,AXW291,14,11,8,991.60,823.03,"7,932.80"
SO - 0001565,11/22/2014,1/7/2015,3,Wholesale,NZD,NXH382,52,14,6,"1,098.80",791.14,"6,592.80"
SO - 0001566,11/23/2014,2/1/2015,44,Wholesale,NZD,FLR025,65,9,9,"3,410.30","2,387.21","30,692.70"
SO - 0001567,11/23/2014,1/23/2015,3,Distributor,NZD,NXH382,53,5,5,683.40,457.88,"3,417.00"
SO - 0001568,11/23/2014,1/5/2015,25,Wholesale,NZD,GUT930,32,7,12,"1,695.10",678.04,"20,341.20"
SO - 0001569,11/23/2014,2/11/2015,24,Wholesale,EUR,GUT930,46,11,12,261.30,109.75,"3,135.60"
SO - 0001570,11/23/2014,1/17/2015,6,Distributor,NZD,AXW291,19,10,8,"3,912.80","1,956.40","31,302.40"
SO - 0001571,11/23/2014,2/17/2015,5,Wholesale,GBP,AXW291,6,4,6,"1,896.10",891.17,"11,376.60"
SO - 0001572,11/23/2014,2/2/2015,19,Export,EUR,AXW291,23,1,5,"1,118.90",749.66,"5,594.50"
SO - 0001573,11/23/2014,12/27/2014,3,Distributor,USD,AXW291,16,13,9,"1,092.10",698.94,"9,828.90"
SO - 0001574,11/23/2014,2/9/2015,49,Wholesale,AUD,AXW291,29,13,9,"1,936.30",910.06,"17,426.70"
SO - 0001575,11/23/2014,1/12/2015,50,Wholesale,EUR,AXW291,22,7,5,"1,922.90","1,211.43","9,614.50"
SO - 0001576,11/24/2014,1/16/2015,29,Wholesale,AUD,GUT930,43,7,9,"3,906.10","2,538.97","35,154.90"
SO - 0001577,11/24/2014,2/8/2015,1,Wholesale,GBP,AXW291,29,9,7,891.10,365.35,"6,237.70"
SO - 0001578,11/24/2014,1/10/2015,31,Distributor,USD,NXH382,56,2,5,"3,323.20","2,658.56","16,616.00"
SO - 0001579,11/24/2014,1/22/2015,38,Export,NZD,AXW291,31,4,10,"1,675.00",670.00,"16,750.00"
SO - 0001580,11/24/2014,2/7/2015,20,Distributor,AUD,AXW291,30,5,11,"1,159.10",567.96,"12,750.10"
SO - 0001581,11/24/2014,2/2/2015,29,Wholesale,NZD,GUT930,42,8,7,"1,038.50",820.42,"7,269.50"
SO - 0001582,11/24/2014,2/1/2015,9,Wholesale,AUD,GUT930,45,11,8,"2,311.50","1,410.02","18,492.00"
SO - 0001583,11/24/2014,2/19/2015,34,Wholesale,NZD,FLR025,66,2,11,"2,519.20","1,435.94","27,711.20"
SO - 0001584,11/24/2014,2/1/2015,11,Export,AUD,AXW291,3,14,8,187.60,78.79,"1,500.80"
SO - 0001585,11/24/2014,1/4/2015,30,Wholesale,EUR,GUT930,37,2,8,"1,989.90","1,432.73","15,919.20"
SO - 0001586,11/24/2014,2/10/2015,43,Distributor,USD,AXW291,4,12,11,"3,912.80","3,091.11","43,040.80"
SO - 0001587,11/25/2014,12/27/2014,28,Wholesale,AUD,GUT930,41,1,8,"6,485.60","4,215.64","51,884.80"
SO - 0001588,11/25/2014,1/18/2015,49,Wholesale,USD,AXW291,12,7,5,"5,842.40","4,557.07","29,212.00"
SO - 0001589,11/26/2014,2/8/2015,19,Wholesale,NZD,GUT930,33,2,12,"5,641.40","4,343.88","67,696.80"
SO - 0001590,11/26/2014,1/7/2015,32,Wholesale,USD,AXW291,30,1,10,201.00,124.62,"2,010.00"
SO - 0001591,11/26/2014,1/18/2015,7,Wholesale,USD,FLR025,66,11,7,"3,946.30","1,578.52","27,624.10"
SO - 0001592,11/26/2014,1/22/2015,37,Wholesale,NZD,GUT930,40,8,7,"3,061.90","2,051.47","21,433.30"
SO - 0001593,11/26/2014,1/3/2015,36,Distributor,USD,NXH382,50,2,9,"3,939.60","2,087.99","35,456.40"
SO - 0001594,11/26/2014,2/16/2015,44,Wholesale,AUD,AXW291,19,10,8,167.50,73.70,"1,340.00"
SO - 0001595,11/26/2014,1/3/2015,41,Wholesale,NZD,NXH382,60,5,12,978.20,538.01,"11,738.40"
SO - 0001596,11/27/2014,2/16/2015,34,Export,USD,NXH382,56,9,7,254.60,127.30,"1,782.20"
SO - 0001597,11/27/2014,1/28/2015,14,Distributor,AUD,AXW291,22,13,10,"3,611.30","2,672.36","36,113.00"
SO - 0001598,11/27/2014,2/17/2015,23,Wholesale,USD,NXH382,58,2,10,261.30,209.04,"2,613.00"
SO - 0001599,11/27/2014,1/7/2015,30,Export,NZD,GUT930,34,7,7,"1,065.30",862.89,"7,457.10"
SO - 0001600,11/27/2014,2/6/2015,4,Wholesale,USD,AXW291,14,6,11,"5,480.60","2,575.88","60,286.60"
SO - 0001601,11/27/2014,1/2/2015,6,Distributor,USD,NXH382,59,11,8,"3,986.50","2,033.12","31,892.00"
SO - 0001602,11/27/2014,1/2/2015,48,Distributor,NZD,GUT930,33,2,7,"6,157.30","4,248.54","43,101.10"
SO - 0001603,11/27/2014,12/29/2014,13,Wholesale,NZD,FLR025,65,10,12,"3,457.20","2,869.48","41,486.40"
SO - 0001604,11/27/2014,2/15/2015,44,Export,EUR,AXW291,2,2,6,"5,815.60","3,082.27","34,893.60"
SO - 0001605,11/27/2014,2/13/2015,29,Wholesale,GBP,FLR025,65,3,10,"2,244.50","1,346.70","22,445.00"
SO - 0001606,11/27/2014,1/4/2015,10,Wholesale,NZD,NXH382,57,2,11,"1,092.10",720.79,"12,013.10"
SO - 0001607,11/28/2014,1/28/2015,44,Wholesale,USD,AXW291,19,13,9,"2,666.60","1,999.95","23,999.40"
SO - 0001608,11/28/2014,1/29/2015,11,Distributor,NZD,AXW291,14,1,12,"3,986.50","1,873.66","47,838.00"
SO - 0001609,11/28/2014,1/1/2015,16,Wholesale,GBP,AXW291,30,5,9,"1,842.50","1,529.28","16,582.50"
SO - 0001610,11/28/2014,2/4/2015,3,Wholesale,NZD,GUT930,46,8,10,"5,085.30","4,271.65","50,853.00"
SO - 0001611,11/28/2014,1/17/2015,23,Export,USD,AXW291,19,5,10,"2,257.90","1,264.42","22,579.00"
SO - 0001612,11/28/2014,1/2/2015,17,Distributor,NZD,FLR025,64,1,11,"3,953.00","2,490.39","43,483.00"
SO - 0001613,11/28/2014,1/29/2015,32,Export,AUD,AXW291,13,5,11,917.90,743.50,"10,096.90"
SO - 0001614,11/29/2014,1/31/2015,19,Distributor,AUD,GUT930,44,11,8,723.60,376.27,"5,788.80"
SO - 0001615,11/29/2014,1/3/2015,47,Wholesale,NZD,AXW291,4,5,9,"3,577.80","1,431.12","32,200.20"
SO - 0001616,11/29/2014,1/15/2015,37,Wholesale,NZD,NXH382,58,14,9,"1,742.00","1,393.60","15,678.00"
SO - 0001617,11/29/2014,1/9/2015,4,Wholesale,NZD,AXW291,4,3,8,247.90,99.16,"1,983.20"
SO - 0001618,11/29/2014,1/18/2015,18,Wholesale,NZD,GUT930,33,4,11,"1,762.10","1,162.99","19,383.10"
SO - 0001619,11/29/2014,1/29/2015,20,Export,USD,GUT930,32,7,5,991.60,624.71,"4,958.00"
SO - 0001620,11/29/2014,2/17/2015,29,Export,USD,AXW291,8,11,7,"1,065.30",713.75,"7,457.10"
SO - 0001621,11/29/2014,1/15/2015,13,Wholesale,AUD,AXW291,7,12,12,"1,152.40",772.11,"13,828.80"
SO - 0001622,11/29/2014,2/22/2015,47,Wholesale,NZD,AXW291,25,1,6,"2,914.50","2,448.18","17,487.00"
SO - 0001623,11/29/2014,1/6/2015,21,Export,AUD,AXW291,4,2,12,"5,239.40","2,619.70","62,872.80"
SO - 0001624,11/30/2014,1/20/2015,15,Wholesale,USD,FLR025,64,2,5,"1,139.00",968.15,"5,695.00"
SO - 0001625,11/30/2014,1/10/2015,47,Distributor,EUR,FLR025,66,13,12,"2,010.00","1,688.40","24,120.00"
SO - 0001626,11/30/2014,2/4/2015,36,Wholesale,AUD,GUT930,38,3,6,"1,165.80",734.45,"6,994.80"
SO - 0001627,11/30/2014,1/27/2015,47,Distributor,NZD,AXW291,1,14,10,"3,959.70","3,009.37","39,597.00"
SO - 0001628,11/30/2014,1/1/2015,25,Wholesale,GBP,GUT930,41,1,10,"2,599.60","2,001.69","25,996.00"
SO - 0001629,11/30/2014,1/23/2015,17,Distributor,NZD,NXH382,50,7,8,"2,787.20","1,254.24","22,297.60"
SO - 0001630,11/30/2014,1/17/2015,41,Wholesale,AUD,AXW291,26,2,9,"1,025.10",563.81,"9,225.90"
SO - 0001631,11/30/2014,1/19/2015,4,Wholesale,USD,GUT930,38,6,8,"3,919.50","2,900.43","31,356.00"
SO - 0001632,11/30/2014,2/10/2015,5,Export,AUD,AXW291,11,5,8,"3,993.20","1,597.28","31,945.60"
SO - 0001633,12/1/2014,2/10/2015,36,Wholesale,USD,GUT930,45,13,12,"6,344.90","4,251.08","76,138.80"
SO - 0001634,12/1/2014,1/11/2015,11,Wholesale,NZD,AXW291,14,1,9,"1,152.40",898.87,"10,371.60"
SO - 0001635,12/1/2014,1/10/2015,19,Distributor,GBP,GUT930,40,11,12,"3,993.20","2,675.44","47,918.40"
SO - 0001636,12/1/2014,2/24/2015,39,Distributor,NZD,NXH382,57,9,5,268.00,182.24,"1,340.00"
SO - 0001637,12/1/2014,2/15/2015,11,Wholesale,USD,GUT930,37,13,12,"5,232.70","3,610.56","62,792.40"
SO - 0001638,12/1/2014,1/19/2015,17,Wholesale,USD,FLR025,64,7,12,"2,465.60","1,430.05","29,587.20"
SO - 0001639,12/1/2014,1/17/2015,14,Wholesale,USD,AXW291,25,1,8,"1,018.40",437.91,"8,147.20"
SO - 0001640,12/2/2014,1/18/2015,25,Wholesale,USD,GUT930,42,8,9,"2,613.00","2,168.79","23,517.00"
SO - 0001641,12/2/2014,1/30/2015,49,Export,GBP,AXW291,10,13,6,"1,038.50",685.41,"6,231.00"
SO - 0001642,12/2/2014,2/14/2015,34,Distributor,NZD,NXH382,49,7,5,"2,318.20","1,043.19","11,591.00"
SO - 0001643,12/2/2014,1/20/2015,42,Distributor,EUR,NXH382,48,9,12,"1,219.40",865.77,"14,632.80"
SO - 0001644,12/2/2014,1/15/2015,24,Distributor,AUD,NXH382,58,1,5,"5,306.40","2,334.82","26,532.00"
SO - 0001645,12/3/2014,2/9/2015,17,Export,NZD,NXH382,55,2,10,"2,479.00","1,462.61","24,790.00"
SO - 0001646,12/3/2014,1/24/2015,44,Distributor,NZD,GUT930,44,9,11,227.80,186.80,"2,505.80"
SO - 0001647,12/3/2014,2/3/2015,30,Export,USD,AXW291,18,1,7,"5,929.50","3,498.41","41,506.50"
SO - 0001648,12/3/2014,2/24/2015,17,Distributor,NZD,AXW291,30,2,9,"1,728.60","1,175.45","15,557.40"
SO - 0001649,12/3/2014,1/16/2015,28,Distributor,USD,GUT930,40,2,11,"1,045.20",825.71,"11,497.20"
SO - 0001650,12/3/2014,1/2/2015,2,Export,AUD,AXW291,5,13,12,"1,721.90","1,411.96","20,662.80"
SO - 0001651,12/4/2014,2/20/2015,44,Export,NZD,AXW291,8,2,7,"3,845.80","2,999.72","26,920.60"
SO - 0001652,12/4/2014,1/24/2015,23,Distributor,USD,FLR025,63,10,10,"2,706.80","1,651.15","27,068.00"
SO - 0001653,12/4/2014,1/7/2015,29,Distributor,NZD,AXW291,17,11,9,"2,613.00","1,358.76","23,517.00"
SO - 0001654,12/4/2014,2/27/2015,9,Wholesale,NZD,NXH382,58,3,11,"3,631.40","2,977.75","39,945.40"
SO - 0001655,12/4/2014,1/7/2015,10,Distributor,NZD,GUT930,39,1,10,"1,105.50",563.81,"11,055.00"
SO - 0001656,12/4/2014,2/6/2015,31,Wholesale,EUR,AXW291,14,5,9,"1,045.20",533.05,"9,406.80"
SO - 0001657,12/4/2014,1/31/2015,4,Wholesale,NZD,NXH382,58,7,11,"3,041.80","1,551.32","33,459.80"
SO - 0001658,12/4/2014,2/8/2015,50,Distributor,AUD,AXW291,15,3,12,"1,755.40",965.47,"21,064.80"
SO - 0001659,12/4/2014,2/16/2015,47,Distributor,NZD,AXW291,21,7,10,"2,291.40","1,191.53","22,914.00"
SO - 0001660,12/4/2014,2/18/2015,45,Distributor,USD,AXW291,4,11,6,"1,058.60",719.85,"6,351.60"
SO - 0001661,12/4/2014,2/6/2015,43,Wholesale,USD,AXW291,30,1,10,"1,065.30",479.39,"10,653.00"
SO - 0001662,12/4/2014,2/9/2015,48,Wholesale,NZD,AXW291,22,7,7,241.20,115.78,"1,688.40"
SO - 0001663,12/5/2014,1/14/2015,20,Export,NZD,GUT930,41,1,11,"1,132.30",781.29,"12,455.30"
SO - 0001664,12/5/2014,2/9/2015,43,Export,EUR,AXW291,25,11,7,"2,224.40","1,890.74","15,570.80"
SO - 0001665,12/5/2014,3/1/2015,20,Export,AUD,FLR025,62,8,6,824.10,659.28,"4,944.60"
SO - 0001666,12/5/2014,2/14/2015,23,Wholesale,NZD,NXH382,49,7,11,"2,351.70","1,458.05","25,868.70"
SO - 0001667,12/5/2014,2/3/2015,43,Export,USD,AXW291,5,2,6,"6,344.90","2,918.65","38,069.40"
SO - 0001668,12/5/2014,1/10/2015,42,Wholesale,EUR,AXW291,23,10,8,"5,621.30","3,541.42","44,970.40"
SO - 0001669,12/5/2014,2/13/2015,32,Wholesale,NZD,AXW291,26,13,9,"1,031.80",598.44,"9,286.20"
SO - 0001670,12/5/2014,2/17/2015,21,Distributor,USD,GUT930,38,2,6,"2,405.30","1,828.03","14,431.80"
SO - 0001671,12/5/2014,2/12/2015,7,Wholesale,GBP,AXW291,17,2,6,"1,105.50",906.51,"6,633.00"
SO - 0001672,12/5/2014,2/13/2015,34,Distributor,USD,FLR025,62,1,10,"1,775.50",958.77,"17,755.00"
SO - 0001673,12/5/2014,1/13/2015,7,Wholesale,AUD,AXW291,28,5,7,"1,092.10",786.31,"7,644.70"
SO - 0001674,12/5/2014,2/7/2015,1,Wholesale,NZD,AXW291,19,2,10,207.70,83.08,"2,077.00"
SO - 0001675,12/5/2014,1/13/2015,16,Wholesale,USD,FLR025,62,14,8,"1,809.00",759.78,"14,472.00"
SO - 0001676,12/6/2014,1/13/2015,30,Distributor,NZD,NXH382,47,2,10,"1,842.50","1,437.15","18,425.00"
SO - 0001677,12/6/2014,2/19/2015,18,Export,NZD,FLR025,62,11,5,"3,839.10","2,764.15","19,195.50"
SO - 0001678,12/6/2014,2/2/2015,34,Wholesale,GBP,GUT930,32,9,10,268.00,171.52,"2,680.00"
SO - 0001679,12/6/2014,1/13/2015,28,Export,NZD,AXW291,22,10,11,"1,829.10",859.68,"20,120.10"
SO - 0001680,12/6/2014,3/1/2015,15,Wholesale,NZD,NXH382,53,1,5,"1,795.60","1,256.92","8,978.00"
SO - 0001681,12/6/2014,2/23/2015,11,Wholesale,USD,AXW291,5,7,8,"1,118.90",458.75,"8,951.20"
SO - 0001682,12/7/2014,1/27/2015,22,Distributor,NZD,AXW291,7,11,5,"1,118.90",716.10,"5,594.50"
SO - 0001683,12/7/2014,2/14/2015,22,Wholesale,NZD,NXH382,47,1,8,"3,926.20","2,630.55","31,409.60"
SO - 0001684,12/7/2014,2/24/2015,19,Wholesale,NZD,AXW291,15,7,5,917.90,514.02,"4,589.50"
SO - 0001685,12/7/2014,1/9/2015,50,Wholesale,AUD,AXW291,25,6,6,207.70,99.70,"1,246.20"
SO - 0001686,12/7/2014,1/9/2015,17,Distributor,USD,NXH382,51,1,9,"1,976.50","1,264.96","17,788.50"
SO - 0001687,12/7/2014,1/12/2015,19,Distributor,GBP,AXW291,15,5,5,"3,959.70","2,613.40","19,798.50"
SO - 0001688,12/7/2014,1/25/2015,49,Wholesale,USD,AXW291,23,1,9,"1,098.80",846.08,"9,889.20"
SO - 0001689,12/7/2014,2/21/2015,15,Distributor,AUD,AXW291,19,13,11,877.70,728.49,"9,654.70"
SO - 0001690,12/7/2014,1/21/2015,14,Distributor,NZD,GUT930,32,5,8,"2,552.70","1,276.35","20,421.60"
SO - 0001691,12/7/2014,3/5/2015,12,Distributor,USD,FLR025,64,12,5,"1,025.10",768.83,"5,125.50"
SO - 0001692,12/7/2014,3/1/2015,34,Wholesale,AUD,GUT930,44,13,12,"1,045.20",668.93,"12,542.40"
SO - 0001693,12/8/2014,1/19/2015,27,Wholesale,NZD,NXH382,55,5,9,"5,983.10","2,393.24","53,847.90"
SO - 0001694,12/8/2014,2/8/2015,47,Wholesale,AUD,GUT930,31,5,7,"1,112.20",756.30,"7,785.40"
SO - 0001695,12/8/2014,2/18/2015,23,Distributor,NZD,AXW291,22,13,6,"1,855.90",816.60,"11,135.40"
SO - 0001696,12/8/2014,1/23/2015,30,Export,USD,NXH382,58,11,10,"3,825.70","2,295.42","38,257.00"
SO - 0001697,12/8/2014,2/19/2015,16,Export,EUR,GUT930,40,5,12,817.40,653.92,"9,808.80"
SO - 0001698,12/8/2014,2/20/2015,9,Wholesale,AUD,AXW291,22,1,11,737.00,375.87,"8,107.00"
SO - 0001699,12/8/2014,1/25/2015,5,Wholesale,NZD,GUT930,37,2,9,"2,465.60","1,651.95","22,190.40"
SO - 0001700,12/8/2014,1/20/2015,41,Wholesale,NZD,AXW291,2,1,8,857.60,686.08,"6,860.80"
SO - 0001701,12/9/2014,2/4/2015,24,Distributor,AUD,NXH382,58,7,11,"1,078.70",431.48,"11,865.70"
SO - 0001702,12/9/2014,2/7/2015,23,Export,NZD,AXW291,30,3,10,"3,390.20","2,746.06","33,902.00"
SO - 0001703,12/9/2014,1/18/2015,18,Wholesale,USD,GUT930,38,5,7,"5,514.10","4,356.14","38,598.70"
SO - 0001704,12/9/2014,1/25/2015,3,Distributor,USD,AXW291,11,2,5,207.70,145.39,"1,038.50"
SO - 0001705,12/9/2014,2/18/2015,49,Wholesale,USD,AXW291,13,1,8,"2,010.00",924.60,"16,080.00"
SO - 0001706,12/9/2014,1/31/2015,30,Wholesale,USD,GUT930,40,1,7,"1,949.70","1,052.84","13,647.90"
SO - 0001707,12/9/2014,1/18/2015,14,Distributor,USD,AXW291,5,1,8,174.20,106.26,"1,393.60"
SO - 0001708,12/9/2014,3/8/2015,24,Wholesale,EUR,FLR025,66,2,7,"1,139.00",797.30,"7,973.00"
SO - 0001709,12/9/2014,2/16/2015,17,Distributor,USD,FLR025,62,5,6,"5,319.80","2,181.12","31,918.80"
SO - 0001710,12/10/2014,2/3/2015,43,Export,EUR,NXH382,59,2,6,"3,926.20","2,080.89","23,557.20"
SO - 0001711,12/10/2014,1/19/2015,36,Export,EUR,NXH382,57,9,7,"1,038.50",768.49,"7,269.50"
SO - 0001712,12/10/2014,2/5/2015,45,Distributor,USD,FLR025,63,1,6,"5,038.40","2,972.66","30,230.40"
SO - 0001713,12/10/2014,3/1/2015,11,Distributor,USD,AXW291,26,9,11,"1,058.60",561.06,"11,644.60"
SO - 0001714,12/10/2014,1/9/2015,6,Distributor,GBP,NXH382,56,2,9,221.10,97.28,"1,989.90"
SO - 0001715,12/10/2014,1/29/2015,24,Wholesale,EUR,AXW291,26,7,6,"3,296.40","2,505.26","19,778.40"
SO - 0001716,12/10/2014,1/25/2015,7,Export,NZD,AXW291,30,10,9,"5,648.10","2,711.09","50,832.90"
SO - 0001717,12/10/2014,2/20/2015,8,Export,GBP,NXH382,56,2,6,"1,118.90",727.29,"6,713.40"
SO - 0001718,12/10/2014,3/4/2015,25,Export,NZD,NXH382,55,1,10,"2,680.00","2,224.40","26,800.00"
SO - 0001719,12/11/2014,2/7/2015,42,Export,NZD,GUT930,42,12,9,"3,865.90","2,860.77","34,793.10"
SO - 0001720,12/11/2014,1/23/2015,35,Export,NZD,AXW291,28,1,7,951.40,399.59,"6,659.80"
SO - 0001721,12/12/2014,2/22/2015,39,Wholesale,AUD,AXW291,10,13,11,"5,621.30","4,272.19","61,834.30"
SO - 0001722,12/12/2014,2/4/2015,3,Wholesale,NZD,GUT930,45,7,6,"3,999.90","3,119.92","23,999.40"
SO - 0001723,12/12/2014,2/28/2015,12,Wholesale,GBP,AXW291,9,2,11,"6,398.50","3,647.15","70,383.50"
SO - 0001724,12/12/2014,1/25/2015,30,Wholesale,AUD,AXW291,1,9,11,"1,038.50",633.49,"11,423.50"
SO - 0001725,12/12/2014,2/28/2015,50,Wholesale,NZD,AXW291,21,14,8,"6,525.80","2,806.09","52,206.40"
SO - 0001726,12/12/2014,1/29/2015,40,Distributor,NZD,GUT930,39,9,9,"1,092.10",808.15,"9,828.90"
SO - 0001727,12/12/2014,2/21/2015,9,Wholesale,EUR,AXW291,23,5,12,"3,879.30","2,715.51","46,551.60"
SO - 0001728,12/12/2014,1/16/2015,31,Wholesale,EUR,GUT930,45,4,5,"2,599.60","2,027.69","12,998.00"
SO - 0001729,12/12/2014,3/2/2015,33,Wholesale,NZD,GUT930,37,7,5,850.90,485.01,"4,254.50"
SO - 0001730,12/13/2014,2/12/2015,47,Wholesale,USD,AXW291,19,2,5,"1,031.80",773.85,"5,159.00"
SO - 0001731,12/13/2014,1/27/2015,26,Wholesale,NZD,AXW291,15,7,7,194.30,79.66,"1,360.10"
SO - 0001732,12/13/2014,2/16/2015,27,Distributor,NZD,AXW291,29,1,11,"2,331.60","1,585.49","25,647.60"
SO - 0001733,12/13/2014,3/1/2015,20,Wholesale,USD,AXW291,29,2,5,"3,001.60","2,191.17","15,008.00"
SO - 0001734,12/13/2014,1/24/2015,25,Distributor,NZD,AXW291,25,12,10,207.70,168.24,"2,077.00"
SO - 0001735,12/13/2014,2/9/2015,41,Distributor,NZD,FLR025,65,11,7,743.70,438.78,"5,205.90"
SO - 0001736,12/13/2014,2/9/2015,46,Distributor,NZD,AXW291,23,1,10,207.70,120.47,"2,077.00"
SO - 0001737,12/13/2014,3/10/2015,32,Export,GBP,AXW291,24,8,8,"5,768.70","3,922.72","46,149.60"
SO - 0001738,12/13/2014,1/20/2015,49,Wholesale,AUD,FLR025,65,7,9,"1,916.20","1,341.34","17,245.80"
SO - 0001739,12/13/2014,1/26/2015,8,Wholesale,USD,AXW291,20,7,11,"2,633.10","2,238.14","28,964.10"
SO - 0001740,12/13/2014,2/8/2015,45,Wholesale,EUR,AXW291,18,1,5,"1,065.30",639.18,"5,326.50"
SO - 0001741,12/13/2014,2/18/2015,48,Wholesale,AUD,AXW291,16,7,9,"2,257.90","1,603.11","20,321.10"
SO - 0001742,12/13/2014,2/25/2015,20,Distributor,NZD,GUT930,44,8,10,991.60,545.38,"9,916.00"
SO - 0001743,12/13/2014,2/8/2015,49,Wholesale,NZD,GUT930,35,10,10,"2,338.30","1,660.19","23,383.00"
SO - 0001744,12/14/2014,1/31/2015,21,Wholesale,NZD,FLR025,62,5,9,"2,988.20","1,583.75","26,893.80"
SO - 0001745,12/14/2014,2/11/2015,35,Wholesale,USD,AXW291,30,13,5,"1,118.90",682.53,"5,594.50"
SO - 0001746,12/14/2014,1/17/2015,29,Wholesale,AUD,GUT930,39,7,6,"2,485.70","1,267.71","14,914.20"
SO - 0001747,12/14/2014,2/14/2015,20,Distributor,EUR,AXW291,21,5,11,"2,847.50","1,708.50","31,322.50"
SO - 0001748,12/14/2014,1/18/2015,25,Wholesale,NZD,AXW291,12,2,12,"3,296.40","2,571.19","39,556.80"
SO - 0001749,12/14/2014,2/4/2015,38,Export,NZD,AXW291,6,5,10,971.50,689.77,"9,715.00"
SO - 0001750,12/14/2014,2/22/2015,34,Wholesale,USD,NXH382,54,1,7,194.30,102.98,"1,360.10"
SO - 0001751,12/14/2014,2/18/2015,27,Distributor,AUD,GUT930,31,11,11,"5,969.70","3,223.64","65,666.70"
SO - 0001752,12/15/2014,2/10/2015,1,Export,NZD,AXW291,30,10,6,"1,078.70",625.65,"6,472.20"
SO - 0001753,12/15/2014,2/23/2015,33,Wholesale,AUD,AXW291,23,7,9,"2,412.00","1,640.16","21,708.00"
SO - 0001754,12/15/2014,2/11/2015,45,Distributor,NZD,AXW291,4,11,11,"1,159.10",904.10,"12,750.10"
SO - 0001755,12/15/2014,1/27/2015,17,Wholesale,USD,FLR025,64,5,5,"1,882.70",809.56,"9,413.50"
SO - 0001756,12/15/2014,2/15/2015,23,Distributor,GBP,GUT930,40,13,10,"1,949.70","1,072.34","19,497.00"
SO - 0001757,12/15/2014,3/1/2015,46,Export,USD,AXW291,19,5,9,"1,098.80",747.18,"9,889.20"
SO - 0001758,12/15/2014,2/16/2015,27,Distributor,NZD,GUT930,31,13,6,"3,155.70","2,335.22","18,934.20"
SO - 0001759,12/15/2014,1/15/2015,24,Export,NZD,AXW291,23,5,9,"2,680.00","2,144.00","24,120.00"
